id,x,y
n00,0,0
n01,0,100
n10,100,0
n02,0,200
n11,100,100
n12,100,200
n04,0,400
n13,100,300
n14,140,400
n20,200,0
n21,200,100
n22,200,200
n23,200,300
n24,180,390
n30,300,0
n31,300,100
n32,300,200
n33,300,300
n34,370,400
n40,400,0
n41,400,100
n42,400,200
n43,400,300
n44,400,400
n50,500,0
n51,510,105
n60,600,0
n61,600,100
n62,600,200
n54,500,400
n63,600,300
n70,700,0
n71,706,100
n72,700,200
n73,700,300
n74,703,400
n80,800,0
n81,800,100
n82,800,200
n83,800,300
n84,800,400
n90,900,0
n92,900,200
n94,900,400
n05,0,500
n06,0,600
n15,100,550
n07,0,700
n16,100,600
n17,120,750
n08,0,800
n09,0,900
n18,100,800
n19,100,900
n25,200,500
n26,200,620
n27,200,700
n28,230,820
n29,200,900
n35,300,500
n36,300,600
n37,300,700
n38,300,800
n39,300,900
n45,400,500
n46,450,600
n47,400,700
n48,400,820
n55,500,510
n56,500,600
n65,650,500
n57,500,700
n66,600,600
n67,600,700
n58,490,800
n59,500,900
n68,600,800
n69,600,900
n75,700,500
n76,700,600
n77,700,700
n78,700,800
n85,800,500
n86,800,630
n87,810,700
n88,800,800
n89,800,900
n95,900,500
n96,900,690
n97,900,700
n98,900,800
n99,900,900
